Row,Emotional_Intensity,Emotion_Aversion,Harm,Self_Benefit,Other_Benefit,Premeditated,Illegality,Social_Norm_Violation,Socialness,Frequency,Personal_Familiarity,General_Familiarity,Morally_Appropriate
mean,4.28384615384615,3.74794871794872,3.70641025641026,4.15179487179487,2.81641025641026,4.31641025641026,2.77025641025641,4.24128205128205,5.17333333333333,4.22794871794872,2.47897435897436,3.74512820512821,3.69461538461538
stddev,1.0171872111294,0.986839501893979,1.36536552291936,1.02222701025091,1.44992393643021,1.14887790781888,1.45470851284053,1.4701878119813,0.805517299415798,0.798049479499314,0.822980184426042,0.746475038808027,1.58684471014724
min,2.37,1.6,1.33,1.83,1.5,2.27,1.27,1.43,3.13,2.6,1.33,2.27,1.57
max,6.53,5.53,5.97,5.73,6.3,6.17,6.03,6.2,6.37,5.8,4.8,5.5,6.77
nlow,9,6,8,4,8,11,3,8,6,6,4,5,9
nmid,27,26,23,25,25,20,29,23,30,25,28,27,22
nhigh,3,7,8,10,6,8,7,8,3,8,7,7,8
a,1.77,1.6,1.3,1.53,1.2,1.63,1.13,1.27,2.43,1.97,1.23,2,1.3
b,3.26327140733083,2.79355873158586,2.15766687884728,2.99627990559726,1.57738337584738,3.43703031021815,1.34640397315456,2.65197224687977,4.44409473008366,3.36392233008105,1.58304118353755,2.94273323794248,2.24051027493049
d,5.38160038754095,4.90208229405518,4.84444850576811,4.93839958158223,4.72909098312698,5.57329020260236,4.33096782171723,5.62084826594075,6.05904629555736,4.95370587504716,3.17035625235989,4.47463855692932,5.42301536609515
e,6.63,6.47,6.07,5.87,6.57,6.53,6.73,6.47,6.57,6.03,5.47,5.77,6.83
