Row,Emotional_Intensity,Emotion_Aversion,Harm,Self_Benefit,Other_Benefit,Premeditated,Illegality,Social_Norm_Violation,Socialness,Frequency,Personal_Familiarity,General_Familiarity,Morally_Appropriate
mean,4.24820512820513,3.60410256410256,3.32897435897436,3.74794871794872,3.42974358974359,4.38641025641026,2.78666666666667,3.74205128205128,5.20769230769231,3.95512820512821,2.2474358974359,3.54205128205128,4.21025641025641
stddev,1.0180193736378,1.17642160144754,1.61237171204536,0.913724919294304,1.74011860364936,1.06966682370772,1.56652863549058,1.6531107886108,0.819175512762716,0.828136220043575,0.658536520213544,0.682845402359859,1.79562786273584
min,2.57,1.6,1.33,1.97,1.2,1.73,1.2,1.27,3.13,2.2,1.33,2.27,1.3
max,6.63,5.7,6.07,5.57,6.33,6.23,6.5,6.4,6.43,5.8,4.3,5.37,6.77
nlow,7,11,14,8,6,8,6,14,7,11,5,8,7
nmid,27,20,13,27,21,25,26,18,26,23,31,28,18
nhigh,5,8,12,4,12,6,7,7,6,5,3,3,14
a,1.77,1.6,1.3,1.53,1.2,1.63,1.13,1.27,2.43,1.97,1.23,2,1.3
b,3.26327140733083,2.79355873158586,2.15766687884728,2.99627990559726,1.57738337584738,3.43703031021815,1.34640397315456,2.65197224687977,4.44409473008366,3.36392233008105,1.58304118353755,2.94273323794248,2.24051027493049
d,5.38160038754095,4.90208229405518,4.84444850576811,4.93839958158223,4.72909098312698,5.57329020260236,4.33096782171723,5.62084826594075,6.05904629555736,4.95370587504716,3.17035625235989,4.47463855692932,5.42301536609515
e,6.63,6.47,6.07,5.87,6.57,6.53,6.73,6.47,6.57,6.03,5.47,5.77,6.83
