Row,Emotional_Intensity,Emotion_Aversion,Harm,Self_Benefit,Other_Benefit,Premeditated,Illegality,Social_Norm_Violation,Socialness,Frequency,Personal_Familiarity,General_Familiarity,Morally_Appropriate
mean,4.38512820512821,3.8025641025641,3.51384615384615,3.99846153846154,3.42641025641026,4.52179487179487,2.80435897435897,4.09564102564102,5.43487179487179,4.26692307692308,2.47076923076923,3.82461538461539,3.88974358974359
stddev,1.06056074136635,1.11751950123228,1.53531190414131,0.951801364920381,1.76365658495026,1.21403939401904,1.53337033657435,1.64146244186716,0.82526723502419,0.752527889750321,0.811779888745221,0.630095011776698,1.73932566830011
min,1.77,1.77,1.3,1.93,1.5,1.9,1.2,1.27,2.43,2.5,1.33,2.57,1.73
max,6.23,5.6,6.07,5.83,6.57,6.43,6.37,6.4,6.43,5.9,5,5.5,6.83
nlow,4,9,12,5,4,10,4,9,6,6,3,3,9
nmid,28,21,19,28,24,19,28,21,25,26,28,31,20
nhigh,7,9,8,6,11,10,7,9,8,7,8,5,10
a,1.77,1.6,1.3,1.53,1.2,1.63,1.13,1.27,2.43,1.97,1.23,2,1.3
b,3.26327140733083,2.79355873158586,2.15766687884728,2.99627990559726,1.57738337584738,3.43703031021815,1.34640397315456,2.65197224687977,4.44409473008366,3.36392233008105,1.58304118353755,2.94273323794248,2.24051027493049
d,5.38160038754095,4.90208229405518,4.84444850576811,4.93839958158223,4.72909098312698,5.57329020260236,4.33096782171723,5.62084826594075,6.05904629555736,4.95370587504716,3.17035625235989,4.47463855692932,5.42301536609515
e,6.63,6.47,6.07,5.87,6.57,6.53,6.73,6.47,6.57,6.03,5.47,5.77,6.83
